Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
56,54,5,6,51,49,13,Train/13/00013_00067_00022.png
72,59,7,6,66,54,21,Train/21/00021_00008_00017.png
75,64,7,5,69,59,13,Train/13/00013_00041_00024.png
31,32,6,6,26,27,13,Train/13/00013_00010_00000.png
33,31,6,5,28,26,13,Train/13/00013_00000_00009.png
92,81,9,7,84,74,11,Train/11/00011_00022_00019.png
59,62,6,6,53,57,11,Train/11/00011_00037_00025.png
69,63,6,5,63,57,18,Train/18/00018_00039_00021.png
170,144,14,12,156,132,29,Train/29/00029_00005_00029.png
60,57,5,5,55,52,25,Train/25/00025_00012_00010.png
49,47,6,5,44,42,11,Train/11/00011_00016_00009.png
41,41,6,6,36,36,18,Train/18/00018_00038_00003.png
82,73,8,7,75,67,25,Train/25/00025_00038_00026.png
37,36,5,6,32,31,30,Train/30/00030_00005_00007.png
29,44,5,5,24,39,11,Train/11/00011_00028_00017.png
50,50,5,6,45,45,18,Train/18/00018_00036_00008.png
99,92,8,8,91,84,13,Train/13/00013_00025_00027.png
51,51,5,6,46,46,23,Train/23/00023_00016_00014.png
62,60,5,6,57,54,18,Train/18/00018_00026_00020.png
68,74,6,6,62,68,13,Train/13/00013_00035_00016.png
62,55,5,5,57,49,13,Train/13/00013_00019_00014.png
32,32,5,6,27,27,25,Train/25/00025_00042_00001.png
46,45,5,6,41,40,13,Train/13/00013_00013_00012.png
27,26,6,5,22,21,23,Train/23/00023_00012_00002.png
97,84,8,8,89,77,30,Train/30/00030_00004_00024.png
50,51,6,5,45,46,24,Train/24/00024_00008_00023.png
32,31,5,6,27,26,31,Train/31/00031_00010_00006.png
35,31,6,5,30,26,31,Train/31/00031_00010_00008.png
54,49,6,6,49,44,18,Train/18/00018_00033_00007.png
45,42,5,6,40,37,25,Train/25/00025_00020_00017.png
136,120,12,10,125,109,25,Train/25/00025_00002_00027.png
35,35,6,6,30,29,25,Train/25/00025_00016_00008.png
72,67,6,6,66,61,18,Train/18/00018_00035_00024.png
43,41,6,6,38,36,25,Train/25/00025_00038_00014.png
41,39,5,6,36,33,20,Train/20/00020_00006_00016.png
38,35,6,6,33,30,25,Train/25/00025_00020_00005.png
77,70,7,7,71,64,11,Train/11/00011_00022_00016.png
38,35,5,6,33,30,11,Train/11/00011_00019_00016.png
48,45,5,5,43,40,18,Train/18/00018_00025_00012.png
34,32,6,6,29,26,27,Train/27/00027_00002_00002.png
51,47,6,6,46,42,18,Train/18/00018_00033_00004.png
39,35,6,6,34,30,31,Train/31/00031_00010_00014.png
71,71,7,7,65,65,18,Train/18/00018_00037_00025.png
95,83,9,7,86,76,18,Train/18/00018_00010_00015.png
82,82,8,8,75,75,25,Train/25/00025_00046_00025.png
118,108,11,9,108,99,25,Train/25/00025_00008_00017.png
41,36,6,5,36,31,25,Train/25/00025_00025_00008.png
32,32,5,5,27,26,18,Train/18/00018_00021_00009.png
63,58,6,5,58,53,31,Train/31/00031_00016_00022.png
154,136,13,11,141,125,11,Train/11/00011_00026_00027.png
30,29,5,5,25,24,28,Train/28/00028_00004_00001.png
50,44,6,5,45,39,30,Train/30/00030_00001_00024.png
35,33,5,5,30,28,11,Train/11/00011_00025_00007.png
35,35,5,5,30,30,31,Train/31/00031_00005_00008.png
38,35,6,6,33,30,13,Train/13/00013_00067_00009.png
34,34,5,5,29,29,11,Train/11/00011_00042_00004.png
62,56,6,6,57,51,11,Train/11/00011_00021_00023.png
131,119,12,11,120,109,20,Train/20/00020_00000_00028.png
45,44,6,5,40,39,20,Train/20/00020_00009_00018.png
32,31,5,5,27,26,29,Train/29/00029_00006_00006.png
68,59,7,6,62,54,13,Train/13/00013_00065_00021.png
31,46,6,5,26,41,11,Train/11/00011_00028_00027.png
57,53,6,6,52,48,25,Train/25/00025_00045_00023.png
83,87,8,7,76,80,25,Train/25/00025_00011_00015.png
32,29,5,5,26,24,11,Train/11/00011_00006_00008.png
26,25,5,5,20,20,13,Train/13/00013_00021_00000.png
36,31,6,6,31,26,24,Train/24/00024_00004_00005.png
31,31,5,6,26,26,23,Train/23/00023_00004_00007.png
92,82,8,7,84,75,25,Train/25/00025_00024_00023.png
69,60,6,6,63,55,23,Train/23/00023_00015_00017.png
41,38,6,6,36,33,31,Train/31/00031_00004_00009.png
34,32,5,6,28,27,25,Train/25/00025_00032_00013.png
30,30,5,6,25,25,31,Train/31/00031_00005_00000.png
54,51,6,6,52,46,28,Train/28/00028_00008_00000.png
59,56,6,5,54,51,26,Train/26/00026_00003_00019.png
91,76,8,6,83,70,13,Train/13/00013_00065_00026.png
41,45,5,5,36,40,13,Train/13/00013_00011_00007.png
89,81,8,8,82,74,11,Train/11/00011_00009_00026.png
36,34,5,5,31,28,18,Train/18/00018_00031_00003.png
75,67,6,6,69,61,22,Train/22/00022_00003_00024.png
43,40,5,5,38,34,31,Train/31/00031_00003_00007.png
38,35,5,5,33,30,30,Train/30/00030_00014_00013.png
59,58,5,5,54,53,23,Train/23/00023_00004_00024.png
42,41,5,5,37,36,31,Train/31/00031_00006_00015.png
89,80,8,7,81,72,28,Train/28/00028_00008_00016.png
64,60,5,6,59,55,13,Train/13/00013_00041_00011.png
124,110,11,9,114,101,13,Train/13/00013_00057_00023.png
170,155,15,13,156,142,25,Train/25/00025_00039_00029.png
37,37,6,6,32,32,11,Train/11/00011_00017_00011.png
35,32,6,6,30,27,24,Train/24/00024_00006_00004.png
72,69,7,7,66,63,11,Train/11/00011_00015_00027.png
37,33,6,6,32,28,25,Train/25/00025_00021_00007.png
52,48,5,5,47,43,18,Train/18/00018_00033_00006.png
107,111,9,10,98,102,18,Train/18/00018_00036_00027.png
37,34,6,6,32,29,29,Train/29/00029_00001_00001.png
50,45,5,6,44,40,13,Train/13/00013_00061_00004.png
42,41,5,6,37,36,13,Train/13/00013_00030_00010.png
32,32,5,6,26,27,23,Train/23/00023_00012_00008.png
59,60,6,6,54,55,11,Train/11/00011_00035_00011.png
47,43,6,6,42,38,27,Train/27/00027_00007_00016.png
67,63,6,5,61,58,30,Train/30/00030_00012_00024.png
59,51,6,6,53,46,20,Train/20/00020_00001_00025.png
44,41,6,6,39,36,21,Train/21/00021_00006_00015.png
83,83,8,8,76,76,27,Train/27/00027_00004_00029.png
54,50,5,5,49,45,11,Train/11/00011_00039_00022.png
53,47,6,5,48,42,18,Train/18/00018_00006_00012.png
52,46,5,5,47,41,13,Train/13/00013_00031_00025.png
77,81,7,8,71,74,25,Train/25/00025_00048_00026.png
64,61,5,6,59,56,23,Train/23/00023_00013_00021.png
61,53,5,5,56,48,13,Train/13/00013_00047_00002.png
53,49,5,6,48,44,18,Train/18/00018_00027_00017.png
33,33,6,6,28,28,31,Train/31/00031_00006_00007.png
37,35,5,6,32,30,25,Train/25/00025_00014_00001.png
45,45,5,6,39,40,31,Train/31/00031_00013_00018.png
105,92,10,9,95,84,28,Train/28/00028_00015_00028.png
59,55,6,6,53,50,18,Train/18/00018_00003_00013.png
134,118,12,11,123,108,24,Train/24/00024_00006_00027.png
62,58,5,5,57,52,27,Train/27/00027_00002_00020.png
37,36,6,6,32,31,26,Train/26/00026_00009_00011.png
92,81,9,8,84,74,11,Train/11/00011_00038_00023.png
52,47,6,6,47,42,31,Train/31/00031_00008_00016.png
49,47,6,6,44,42,25,Train/25/00025_00000_00005.png
71,72,6,6,65,66,28,Train/28/00028_00016_00024.png
170,166,15,15,156,152,13,Train/13/00013_00035_00029.png
110,98,10,9,101,89,23,Train/23/00023_00011_00024.png
88,82,7,7,81,75,18,Train/18/00018_00030_00025.png
46,43,6,6,41,38,25,Train/25/00025_00036_00011.png
37,35,5,5,31,30,13,Train/13/00013_00071_00002.png
72,65,6,6,66,60,25,Train/25/00025_00031_00024.png
50,52,6,5,45,47,24,Train/24/00024_00008_00018.png
105,89,10,8,96,82,28,Train/28/00028_00002_00024.png
63,58,5,6,58,53,13,Train/13/00013_00054_00000.png
47,42,6,6,41,37,18,Train/18/00018_00009_00022.png
148,137,13,12,136,126,25,Train/25/00025_00008_00022.png
28,26,6,5,23,20,24,Train/24/00024_00005_00004.png
50,46,6,6,45,41,13,Train/13/00013_00029_00026.png
39,38,5,6,34,33,31,Train/31/00031_00007_00014.png
44,42,6,6,39,37,25,Train/25/00025_00038_00015.png
47,43,6,6,42,38,30,Train/30/00030_00002_00010.png
43,40,5,5,37,34,11,Train/11/00011_00020_00010.png
96,84,9,7,88,77,24,Train/24/00024_00006_00024.png
55,50,6,6,50,45,13,Train/13/00013_00067_00020.png
109,99,9,9,100,91,13,Train/13/00013_00070_00017.png
53,49,5,6,48,44,30,Train/30/00030_00013_00024.png
143,132,13,12,131,121,18,Train/18/00018_00033_00026.png
106,94,9,8,97,86,26,Train/26/00026_00015_00011.png
58,50,6,5,52,45,18,Train/18/00018_00009_00029.png
65,59,6,6,60,54,31,Train/31/00031_00007_00026.png
50,46,5,6,45,41,25,Train/25/00025_00036_00015.png
43,43,5,5,38,38,13,Train/13/00013_00046_00012.png
45,41,6,6,39,36,11,Train/11/00011_00020_00011.png
30,27,6,5,24,21,18,Train/18/00018_00030_00002.png
104,88,10,8,95,81,24,Train/24/00024_00007_00025.png
59,52,6,5,54,47,26,Train/26/00026_00014_00007.png
31,29,6,5,26,24,18,Train/18/00018_00011_00002.png
83,73,8,7,76,67,23,Train/23/00023_00014_00009.png
27,25,6,5,22,20,20,Train/20/00020_00006_00000.png
74,63,7,6,68,58,13,Train/13/00013_00039_00026.png
70,62,7,5,64,57,25,Train/25/00025_00024_00018.png
48,42,6,5,43,37,18,Train/18/00018_00017_00019.png
45,41,5,5,39,35,26,Train/26/00026_00019_00018.png
61,55,6,6,56,50,25,Train/25/00025_00047_00004.png
64,58,6,5,59,53,22,Train/22/00022_00012_00022.png
55,52,6,5,50,47,20,Train/20/00020_00002_00019.png
61,55,6,5,56,50,30,Train/30/00030_00009_00013.png
111,96,10,8,102,88,30,Train/30/00030_00000_00025.png
80,72,8,7,73,66,23,Train/23/00023_00014_00007.png
70,65,6,6,64,60,11,Train/11/00011_00010_00015.png
89,84,8,7,82,77,13,Train/13/00013_00015_00015.png
48,46,6,6,43,40,23,Train/23/00023_00013_00009.png
27,27,5,6,21,22,18,Train/18/00018_00000_00001.png
35,34,5,6,29,29,19,Train/19/00019_00003_00004.png
36,36,5,6,31,31,24,Train/24/00024_00005_00018.png
42,37,6,5,37,32,11,Train/11/00011_00005_00003.png
77,71,7,6,71,65,31,Train/31/00031_00001_00027.png
49,46,6,5,44,41,11,Train/11/00011_00031_00009.png
38,39,6,5,32,33,11,Train/11/00011_00043_00006.png
98,94,8,9,90,86,11,Train/11/00011_00034_00024.png
31,29,6,5,26,23,27,Train/27/00027_00005_00004.png
35,32,5,5,29,27,30,Train/30/00030_00001_00001.png
80,74,8,7,73,68,13,Train/13/00013_00061_00017.png
41,41,5,6,36,35,30,Train/30/00030_00004_00005.png
161,147,14,12,148,135,22,Train/22/00022_00007_00028.png
49,47,6,6,44,42,13,Train/13/00013_00028_00006.png
64,60,6,5,59,55,25,Train/25/00025_00010_00020.png
98,86,9,7,90,78,13,Train/13/00013_00012_00028.png
67,56,6,5,61,51,13,Train/13/00013_00042_00027.png
38,34,5,5,32,28,26,Train/26/00026_00012_00012.png
49,46,6,6,44,41,31,Train/31/00031_00020_00018.png
30,29,6,5,25,24,18,Train/18/00018_00021_00004.png
49,46,6,5,44,41,27,Train/27/00027_00001_00013.png
60,55,6,6,55,50,29,Train/29/00029_00006_00022.png
39,39,5,5,34,34,18,Train/18/00018_00019_00002.png
39,36,5,5,34,31,18,Train/18/00018_00002_00007.png
54,49,5,6,48,43,19,Train/19/00019_00001_00018.png
44,41,5,5,39,36,26,Train/26/00026_00012_00017.png
85,68,8,6,78,62,19,Train/19/00019_00002_00022.png
53,51,6,5,48,46,23,Train/23/00023_00016_00015.png
86,82,7,8,78,74,23,Train/23/00023_00001_00011.png
62,63,5,6,57,58,18,Train/18/00018_00022_00009.png
117,101,11,9,107,93,18,Train/18/00018_00004_00018.png
72,68,6,6,66,62,27,Train/27/00027_00004_00027.png
52,53,5,6,47,48,25,Train/25/00025_00023_00011.png
53,50,6,6,48,45,13,Train/13/00013_00055_00017.png
112,101,10,9,103,93,21,Train/21/00021_00007_00027.png
117,104,10,9,107,95,11,Train/11/00011_00018_00027.png
50,44,6,6,45,39,26,Train/26/00026_00002_00028.png
27,26,5,6,22,21,18,Train/18/00018_00030_00000.png
49,49,6,6,44,44,30,Train/30/00030_00012_00018.png
42,39,5,5,37,34,31,Train/31/00031_00008_00010.png
43,38,6,5,38,33,26,Train/26/00026_00004_00008.png
71,71,7,7,65,65,13,Train/13/00013_00045_00000.png
69,62,7,6,63,57,23,Train/23/00023_00002_00020.png
57,51,5,6,52,46,19,Train/19/00019_00002_00012.png
33,33,5,6,28,28,25,Train/25/00025_00035_00008.png
84,74,8,7,77,68,28,Train/28/00028_00001_00026.png
34,32,5,6,29,27,13,Train/13/00013_00004_00009.png
31,32,5,6,25,27,25,Train/25/00025_00016_00002.png
36,32,6,6,30,27,26,Train/26/00026_00019_00010.png
31,31,6,6,26,26,31,Train/31/00031_00022_00008.png
38,34,6,6,33,29,26,Train/26/00026_00004_00002.png
59,52,5,5,53,46,19,Train/19/00019_00002_00013.png
53,53,5,5,48,48,18,Train/18/00018_00015_00013.png
30,31,6,6,25,26,13,Train/13/00013_00027_00000.png
43,39,6,6,37,34,25,Train/25/00025_00037_00015.png
81,69,8,6,73,62,13,Train/13/00013_00013_00025.png
76,70,6,6,70,64,13,Train/13/00013_00012_00023.png
51,49,5,6,46,44,13,Train/13/00013_00033_00015.png
44,41,6,5,38,35,18,Train/18/00018_00029_00012.png
83,74,8,6,76,68,26,Train/26/00026_00011_00021.png
117,118,7,11,107,108,20,Train/20/00020_00003_00029.png
51,49,5,6,46,44,13,Train/13/00013_00033_00016.png
69,63,6,6,63,58,28,Train/28/00028_00006_00021.png
76,70,6,7,70,64,11,Train/11/00011_00026_00011.png
37,34,6,5,32,29,11,Train/11/00011_00003_00003.png
132,118,12,11,121,108,13,Train/13/00013_00033_00027.png
39,37,6,5,34,32,25,Train/25/00025_00042_00009.png
35,33,6,6,30,28,13,Train/13/00013_00040_00004.png
45,43,6,6,40,38,28,Train/28/00028_00011_00012.png
130,121,11,11,119,111,13,Train/13/00013_00014_00026.png
139,132,12,12,127,121,23,Train/23/00023_00003_00027.png
134,127,11,11,123,116,13,Train/13/00013_00054_00023.png
62,58,5,6,57,53,11,Train/11/00011_00010_00012.png
51,46,6,5,46,41,13,Train/13/00013_00029_00028.png
33,34,6,5,28,29,11,Train/11/00011_00037_00002.png
72,65,6,6,66,60,13,Train/13/00013_00062_00021.png
73,74,6,7,67,68,13,Train/13/00013_00010_00028.png
119,116,10,11,109,106,11,Train/11/00011_00032_00026.png
33,36,6,5,28,31,13,Train/13/00013_00026_00000.png
89,78,7,7,81,71,19,Train/19/00019_00000_00015.png
33,29,6,5,28,24,24,Train/24/00024_00000_00008.png
44,40,5,6,39,35,31,Train/31/00031_00004_00011.png
64,63,6,6,59,58,26,Train/26/00026_00001_00021.png
101,96,9,8,93,88,13,Train/13/00013_00048_00028.png
58,54,6,6,53,49,23,Train/23/00023_00003_00008.png
36,34,6,5,31,29,25,Train/25/00025_00002_00009.png
58,58,5,5,53,53,20,Train/20/00020_00004_00029.png
61,51,5,6,56,46,13,Train/13/00013_00068_00008.png
129,116,11,11,118,106,22,Train/22/00022_00000_00028.png
65,58,6,6,60,52,28,Train/28/00028_00015_00023.png
43,39,6,5,38,34,25,Train/25/00025_00036_00006.png
39,41,5,6,34,36,28,Train/28/00028_00016_00006.png
94,83,9,7,86,76,23,Train/23/00023_00013_00028.png
86,69,8,7,79,63,13,Train/13/00013_00068_00016.png
54,55,5,6,49,50,18,Train/18/00018_00038_00015.png
74,65,7,6,68,60,24,Train/24/00024_00006_00021.png
49,45,6,5,44,40,25,Train/25/00025_00021_00015.png
38,37,6,6,33,32,20,Train/20/00020_00002_00006.png
42,37,6,6,37,32,23,Train/23/00023_00015_00003.png
52,50,5,5,47,45,22,Train/22/00022_00002_00016.png
55,50,6,5,50,45,31,Train/31/00031_00009_00017.png
38,35,6,5,33,30,13,Train/13/00013_00029_00013.png
51,45,5,5,46,40,13,Train/13/00013_00044_00015.png
33,29,6,5,28,24,18,Train/18/00018_00034_00000.png
67,61,6,6,61,56,26,Train/26/00026_00011_00017.png
42,38,6,5,37,33,13,Train/13/00013_00020_00005.png
75,70,6,7,69,64,11,Train/11/00011_00007_00024.png
29,27,6,6,24,22,26,Train/26/00026_00018_00003.png
35,34,5,6,30,29,22,Train/22/00022_00012_00005.png
55,76,6,6,50,70,13,Train/13/00013_00026_00022.png
68,63,6,5,62,58,22,Train/22/00022_00002_00021.png
47,45,5,5,42,40,27,Train/27/00027_00004_00013.png
35,38,5,6,29,32,11,Train/11/00011_00037_00006.png
29,28,6,6,24,23,24,Train/24/00024_00005_00008.png
33,31,6,5,28,25,20,Train/20/00020_00006_00008.png
73,69,6,7,67,63,11,Train/11/00011_00007_00023.png
81,81,8,8,74,74,18,Train/18/00018_00022_00017.png
50,45,6,5,45,40,13,Train/13/00013_00048_00004.png
47,46,5,6,42,41,25,Train/25/00025_00024_00009.png
56,51,6,5,51,46,11,Train/11/00011_00039_00023.png
76,76,7,7,70,70,13,Train/13/00013_00045_00004.png
59,63,6,6,54,58,24,Train/24/00024_00001_00006.png
41,41,6,6,36,36,23,Train/23/00023_00012_00018.png
58,54,5,5,53,49,23,Train/23/00023_00006_00023.png
46,41,6,5,40,35,11,Train/11/00011_00003_00010.png
62,58,5,6,57,53,13,Train/13/00013_00017_00015.png
69,62,6,6,63,56,18,Train/18/00018_00008_00014.png
55,53,5,6,50,48,27,Train/27/00027_00006_00021.png
97,87,8,7,89,80,29,Train/29/00029_00008_00024.png
46,46,5,6,41,41,11,Train/11/00011_00015_00021.png
55,49,6,5,50,44,18,Train/18/00018_00009_00028.png
62,57,6,5,57,52,30,Train/30/00030_00007_00017.png
74,69,6,7,68,63,27,Train/27/00027_00002_00022.png
81,86,8,8,74,78,25,Train/25/00025_00011_00014.png
46,43,5,6,41,38,13,Train/13/00013_00016_00011.png
53,52,6,6,48,47,13,Train/13/00013_00036_00021.png
52,50,5,6,47,45,25,Train/25/00025_00021_00018.png
27,27,5,5,22,21,13,Train/13/00013_00058_00001.png
40,36,6,6,35,31,24,Train/24/00024_00006_00009.png
33,33,5,6,28,28,21,Train/21/00021_00001_00004.png
26,27,5,5,20,21,24,Train/24/00024_00000_00002.png
37,37,6,6,32,32,20,Train/20/00020_00004_00015.png
46,43,6,6,41,37,25,Train/25/00025_00036_00010.png
57,82,5,7,52,75,13,Train/13/00013_00026_00023.png
62,59,6,5,57,54,27,Train/27/00027_00000_00012.png
83,83,8,8,76,76,18,Train/18/00018_00037_00027.png
69,60,6,5,63,55,11,Train/11/00011_00009_00020.png
165,153,14,14,151,140,25,Train/25/00025_00021_00029.png
71,64,6,5,65,59,25,Train/25/00025_00030_00016.png
45,42,5,5,40,37,13,Train/13/00013_00043_00011.png
110,99,9,8,101,91,13,Train/13/00013_00030_00028.png
43,42,6,5,38,37,31,Train/31/00031_00022_00019.png
38,34,5,6,33,29,30,Train/30/00030_00013_00011.png
45,40,5,5,40,35,23,Train/23/00023_00006_00015.png
27,27,6,6,22,21,25,Train/25/00025_00006_00000.png
73,68,7,7,67,62,18,Train/18/00018_00039_00022.png
58,53,6,5,53,48,13,Train/13/00013_00055_00019.png
47,41,5,6,41,36,26,Train/26/00026_00017_00017.png
74,72,6,7,67,65,23,Train/23/00023_00001_00006.png
60,55,6,5,55,50,18,Train/18/00018_00011_00021.png
45,40,5,5,40,35,28,Train/28/00028_00002_00006.png
66,62,6,6,60,56,24,Train/24/00024_00002_00019.png
30,29,5,6,25,24,31,Train/31/00031_00024_00001.png
48,45,5,5,43,40,19,Train/19/00019_00006_00014.png
60,59,6,5,55,54,18,Train/18/00018_00015_00015.png
40,37,6,6,34,31,13,Train/13/00013_00032_00005.png
39,39,5,5,34,34,13,Train/13/00013_00058_00017.png
50,44,6,6,45,39,13,Train/13/00013_00016_00012.png
106,97,9,8,96,89,25,Train/25/00025_00030_00025.png
54,50,5,6,49,45,25,Train/25/00025_00046_00015.png
156,139,13,12,143,127,24,Train/24/00024_00006_00028.png
82,74,8,7,75,67,18,Train/18/00018_00010_00009.png
67,71,6,6,61,65,25,Train/25/00025_00011_00006.png
55,52,6,5,49,47,22,Train/22/00022_00010_00026.png
243,225,20,20,223,205,25,Train/25/00025_00003_00029.png
39,36,6,6,34,31,13,Train/13/00013_00065_00008.png
56,51,6,5,51,46,11,Train/11/00011_00022_00002.png
97,92,8,9,89,84,28,Train/28/00028_00003_00027.png
62,57,5,6,57,52,13,Train/13/00013_00052_00023.png
64,63,6,6,59,58,25,Train/25/00025_00000_00018.png
44,39,6,5,39,34,25,Train/25/00025_00014_00009.png
46,50,6,5,41,44,13,Train/13/00013_00058_00025.png
40,37,5,6,35,32,13,Train/13/00013_00010_00008.png
97,92,8,8,88,84,18,Train/18/00018_00003_00024.png
30,30,5,6,25,25,11,Train/11/00011_00039_00003.png
81,75,8,6,74,69,25,Train/25/00025_00008_00007.png
45,59,6,6,39,53,13,Train/13/00013_00026_00015.png
57,52,6,5,52,46,28,Train/28/00028_00017_00017.png
44,41,6,5,39,36,18,Train/18/00018_00003_00003.png
97,85,9,8,89,78,11,Train/11/00011_00018_00024.png
106,97,10,8,97,89,29,Train/29/00029_00003_00028.png
35,35,6,6,30,30,13,Train/13/00013_00064_00019.png
43,41,6,6,38,36,25,Train/25/00025_00033_00011.png
94,83,8,8,86,76,28,Train/28/00028_00002_00023.png
72,65,6,5,66,59,18,Train/18/00018_00001_00022.png
57,53,6,6,52,48,11,Train/11/00011_00034_00014.png
58,53,6,6,52,47,11,Train/11/00011_00011_00013.png
59,53,5,5,54,48,13,Train/13/00013_00047_00001.png
46,43,6,5,40,37,13,Train/13/00013_00009_00016.png
33,28,6,5,27,22,11,Train/11/00011_00021_00004.png
48,47,6,6,43,42,31,Train/31/00031_00019_00010.png
35,34,5,6,30,29,21,Train/21/00021_00001_00006.png
62,57,6,5,57,52,21,Train/21/00021_00009_00020.png
93,86,9,8,85,78,23,Train/23/00023_00010_00024.png
43,40,6,5,38,35,25,Train/25/00025_00031_00011.png
59,56,5,5,53,51,11,Train/11/00011_00001_00007.png
45,45,5,6,40,40,13,Train/13/00013_00001_00015.png
53,49,5,5,48,44,11,Train/11/00011_00024_00019.png
39,39,5,6,34,34,28,Train/28/00028_00017_00008.png
46,44,5,6,41,39,23,Train/23/00023_00013_00008.png
32,32,6,6,27,27,13,Train/13/00013_00001_00005.png
59,57,6,6,54,52,22,Train/22/00022_00006_00023.png
57,53,5,5,52,48,18,Train/18/00018_00029_00018.png
123,98,11,9,113,90,19,Train/19/00019_00002_00028.png
48,49,5,6,43,44,18,Train/18/00018_00038_00010.png
38,39,6,6,33,34,18,Train/18/00018_00012_00007.png
37,36,6,5,32,31,13,Train/13/00013_00030_00006.png
36,36,5,6,31,31,11,Train/11/00011_00017_00010.png
74,70,6,6,68,64,18,Train/18/00018_00003_00020.png
164,154,14,13,149,140,25,Train/25/00025_00008_00024.png
71,67,6,6,65,61,18,Train/18/00018_00026_00022.png
55,47,6,5,50,42,20,Train/20/00020_00001_00023.png
32,32,6,6,27,27,25,Train/25/00025_00017_00000.png
71,63,7,6,65,58,11,Train/11/00011_00022_00012.png
51,51,5,5,46,46,30,Train/30/00030_00012_00021.png
41,41,6,6,36,36,13,Train/13/00013_00003_00010.png
36,34,6,5,30,29,18,Train/18/00018_00017_00011.png
44,42,5,6,38,36,26,Train/26/00026_00006_00015.png
84,76,7,7,77,70,28,Train/28/00028_00009_00026.png
65,62,6,6,60,57,22,Train/22/00022_00007_00019.png
55,51,5,5,50,46,31,Train/31/00031_00014_00015.png
63,61,6,6,58,56,11,Train/11/00011_00013_00018.png
175,159,15,14,160,146,11,Train/11/00011_00000_00029.png
62,56,6,6,57,51,18,Train/18/00018_00033_00012.png
62,57,6,5,57,52,21,Train/21/00021_00007_00020.png
55,56,6,6,50,51,27,Train/27/00027_00003_00024.png
34,34,5,5,29,29,31,Train/31/00031_00022_00013.png
29,26,6,5,23,20,26,Train/26/00026_00019_00000.png
42,42,5,5,37,37,31,Train/31/00031_00019_00004.png
59,54,6,6,54,49,21,Train/21/00021_00006_00022.png
111,112,9,10,102,103,18,Train/18/00018_00013_00029.png
54,50,5,6,49,45,22,Train/22/00022_00003_00016.png
164,154,14,14,149,141,13,Train/13/00013_00054_00028.png
71,71,7,7,65,65,13,Train/13/00013_00045_00001.png
40,37,6,5,35,32,18,Train/18/00018_00024_00011.png
83,74,7,6,76,68,25,Train/25/00025_00030_00018.png
40,34,6,6,35,29,11,Train/11/00011_00021_00012.png
32,29,5,5,27,24,26,Train/26/00026_00008_00000.png
34,36,5,5,29,31,11,Train/11/00011_00043_00001.png
63,62,6,5,58,57,31,Train/31/00031_00021_00024.png
131,119,12,11,120,109,11,Train/11/00011_00031_00027.png
84,80,8,8,77,73,27,Train/27/00027_00007_00029.png
